DATE,A939RX0Q048SBEA
2006-01-01,51277.0
2006-04-01,51281.0
2006-07-01,51228.0
2006-10-01,51532.0
2007-01-01,51540.0
2007-04-01,51719.0
2007-07-01,51866.0
2007-10-01,52049.0
2008-01-01,51637.0
2008-04-01,51790.0
2008-07-01,51384.0
2008-10-01,50154.0
2009-01-01,49491.0
2009-04-01,49318.0
2009-07-01,49384.0
2009-10-01,49811.0
2010-01-01,49903.0
2010-04-01,50272.0
2010-07-01,50543.0
2010-10-01,50696.0
2011-01-01,50492.0
